station_id,name,lat,lon,elevation_m,country,tz,isd_id,wfo,nws_zone
KPIH,POCATELLO REGIONAL AIRPORT,42.92,-112.572,1356.6,US,America/Boise,725780-24156,PIH,IDZ021
KPIT,PITTSBURGH INTERNATIONAL AIRPORT,40.485,-80.214,341.0,US,America/New_York,725200-94823,PBZ,PAZ021
KPUB,PUEBLO MEMORIAL AIRPORT,38.289,-104.506,1424.5,US,America/Denver,724640-93058,PUB,COZ073
KPVD,THEODORE F GREEN STATE AIRPORT,41.723,-71.432,15.4,US,America/New_York,725070-14765,BOX,RIZ004
KPWM,PORTLAND INTERNATIONAL JETPORT AP,43.642,-70.304,13.5,US,America/New_York,726060-14764,GYX,MEZ024
KRAP,RAPID CITY REGIONAL AIRPORT,44.046,-103.054,963.8,US,America/Denver,726620-24090,UNR,SDZ031
KRDD,REDDING MUNICIPAL AIRPORT,40.515,-122.298,152.6,US,America/Los_Angeles,725920-24257,STO,CAZ015
KRDU,RALEIGH-DURHAM INTERNATIONAL AP,35.892,-78.782,120.5,US,America/New_York,723060-13722,RAH,NCZ041
KRFD,GREATER ROCKFORD AIRPORT,42.193,-89.093,221.0,US,America/Chicago,725430-94822,LOT,ILZ003
KRIC,RICHMOND INTERNATIONAL AIRPORT,37.512,-77.323,50.7,US,America/New_York,724010-13740,AKQ,VAZ048
KRNO,RENO/TAHOE INTERNATIONAL AIRPORT,39.508,-119.768,1342.5,US,America/Los_Angeles,724880-23185,REV,NVZ003
KROC,GREATER ROCHESTER INTERNATIONAL AP,43.117,-77.675,164.5,US,America/New_York,725290-14768,BUF,NYZ003
KROW,ROSWELL INTERNATIONAL AIR CENTER AP,33.307,-104.508,1104.6,US,America/Denver,722680-23009,ABQ,NMZ018
KRST,ROCHESTER INTERNATIONAL AIRPORT,43.904,-92.492,397.9,US,America/Chicago,726440-14925,ARX,MNZ087
KSAN,SAN DIEGO INTERNATIONAL AIRPORT,32.734,-117.183,4.6,US,America/Los_Angeles,722900-23188,SGX,CAZ043
KSAT,SAN ANTONIO INTERNATIONAL AIRPORT,29.544,-98.484,243.6,US,America/Chicago,722530-12921,EWX,TXZ205
KSAV,SAVANNAH/HILTON HEAD INTL AIRPORT,32.131,-81.202,8.7,US,America/New_York,722070-03822,CHS,GAZ099
KSBA,SANTA BARBARA MUNICIPAL AIRPORT,34.424,-119.842,2.5,US,America/Los_Angeles,723925-23190,LOX,CAZ039
KSBN,SOUTH BEND REGIONAL AIRPORT,41.707,-86.316,235.4,US,America/Indiana/Indianapolis,725350-14848,IWX,INZ003
KSDF,LOUISVILLE INTL-STANDIFORD FIELD AP,38.177,-85.731,146.3,US,America/Kentucky/Louisville,724230-93821,LMK,KYZ030
KSEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,47.445,-122.314,112.5,US,America/Los_Angeles,727930-24233,SEW,WAZ006
KSFO,SAN FRANCISCO INTERNATIONAL AIRPORT,37.62,-122.366,3.2,US,America/Los_Angeles,724940-23234,MTR,CAZ006
KSGF,SPRINGFIELD-BRANSON REGIONAL AIRPORT,37.24,-93.39,384.7,US,America/Chicago,724400-13995,SGF,MOZ090
KSHV,SHREVEPORT REGIONAL AIRPORT,32.447,-93.824,69.6,US,America/Chicago,722480-13957,SHV,LAZ001
KSJC,N Y. MINETA SN JO INTL APT,37.359,-121.924,15.0,US,America/Los_Angeles,724945-23293,MTR,CAZ008
KSLC,SALT LAKE CITY INTERNATIONAL AIRPORT,40.771,-111.965,1288.4,US,America/Denver,725720-24127,SLC,UTZ002
KSMF,SACRAMENTO INTL AIRPORT,38.701,-121.595,7.5,US,America/Los_Angeles,724839-99999,STO,CAZ015
KSPI,ABRAHAM LINCOLN CAPITAL AIRPORT,39.845,-89.684,179.7,US,America/Chicago,724390-93822,ILX,ILZ051
KSTL,LAMBERT-ST LOUIS INTERNATIONAL AP,38.752,-90.373,162.0,US,America/Chicago,724340-13994,LSX,MOZ063
KSYR,SYRACUSE HANCOCK INTERNATIONAL AP,43.111,-76.104,124.9,US,America/New_York,725190-14771,BGM,NYZ018
KTLH,TALLAHASSEE REGIONAL AIRPORT,30.394,-84.351,17.1,US,America/New_York,722140-93805,TAE,FLZ017
KTOL,TOLEDO EXPRESS AIRPORT,41.587,-83.805,205.5,US,America/New_York,725360-94830,CLE,OHZ003
KTPA,TAMPA INTERNATIONAL AIRPORT,27.963,-82.54,1.8,US,America/New_York,722110-12842,TBW,FLZ050
