TAIL_NUMBER,MANUFACTURER,MODEL
N618TA,Raytheon Aircraft Company,B200
N618UA,Boeing,767-222
N618US,Boeing,747-251F
N618WN,Boeing,737-3H4
N6182A,Beech,B200
N619AA,Boeing,757-223
N619AE,Embraer,EMB-145LR
N619AS,Boeing,737-790
N619AU,Boeing,757-2B7
N619AW,Airbus Industrie,A320-232
N619DL,Boeing,757-232
N619FE,Mcdonnell Douglas,MD-11F
N619FF,Boeing,747-212B
N619GA,Dassault/Sud,FAN JET FALCON SER D
N619MJ,Gates Learjet Corp,55
N619NW,Mcdonnell Douglas,DC-9-32
N619SW,Boeing,737-3H4
N619TA,Raytheon Aircraft Company,B200
N619TD,British Aerospace A/C Group,HS.125-700A
N619UA,Boeing,767-222
N619US,Boeing,747-251F
N61911,Beech,18D
N61912,Beech,18D
N61981,Douglas,DC3A
N6199D,Beech,C-99
N62AB,Beech,D18S
N62AF,Boeing,737-222
N62B,Beech,E18S
N62BL,Beech,E-90
N62BT,Beech,B200
N62CC,Douglas,DC3C
N62CH,Mitsubishi,MU-300
N62CP,Mitsubishi,MU-2B-40
N62CZ,Embraer,EMB-110P1
N62DL,Beech,200
N62GA,Beech,200
N62GB,Cessna,560XL
N62GX,Israel Aircraft Industries,GALAXY
N62MB,Gates Learjet Corp.,35A
N62MS,Gulfstream Aerospace,G-V
N62NC,Beech,A100
N62ND,Israel Aircraft Industries,1124
N62PG,Gates Lear Jet,36A
N62SW,Boeing,737-2H4
N62TA,Britten-Norman,BN-2A-21
N62TJ,Hawker Siddeley,DH-125
N62TP,Beech,E18S
N62TW,Hawker Siddeley,DH.125-400A
N62WA,Cessna,560
N62WS,Douglas,DC3C
N62YV,Beech,1900C
N62Z,Swearingen,SA226TC
N62ZV,Beech,1900D
N620A,Dassault-Breguet,FALCON 20
N620AA,Boeing,757-223
N620AC,Canadair Ltd,CL-600 CHALLENGER
N620AE,Embraer,EMB-145LR
N620AT,Cessna,560
N620AU,Boeing,757-2B7
N620AW,Airbus Industrie,A320-231
N620BR,Canadair,CL-600-2B19
N620DL,Boeing,757-232
N620DS,Gulfstream Aerospace,G-IV
N620FE,Mcdonnell Douglas,MD-11F
N620FF,Boeing,747-212B
N620JA,Gulfstream Aerospace,G-1159A
N620JF,Learjet Inc,60
N620JH,Gulfstream Aerospace,G-IV
N620JM,Gates Learjet Corp.,35A
N620K,Gulfstream Aerospace,G-IV
N620KE,Israel Aircraft Industries,ASTRA SPX
N620NA,Douglas,DC-6A
N620NW,Mcdonnell Douglas,DC-9-32
N620PA,Fairchild,SA227-AC
N620PC,Boeing,737-244
N620S,Canadair Ltd,CL-600 CHALLENGER
N620SB,Canadair Ltd,CL-600 CHALLENGER
N620SW,Boeing,737-3H4
N620UA,Boeing,767-222
N62004,Beech,C18S
N6201B,Douglas,DC-7B
N6201C,Lockheed,1049-53
N6202C,Lockheed,1049-53
N6203C,Lockheed,1049-53
N6204B,Douglas,DC-7B
N6206C,Lockheed,1049-53
N6207C,Lockheed,1049-53
N6208C,Lockheed,1049-53
N62086,Douglas,DC3C
N621AC,Boeing,737-230
N621AE,Embraer,EMB-145LR
N621AM,Boeing,757-223
N621AU,Boeing,757-2B7
N621AW,Airbus Industrie,A320-231
N621BR,Canadair,CL-600-2B19
N621CH,Raytheon Corporate Jets Inc,HAWKER 800XP
N621DL,Boeing,757-232
N621FE,Mcdonnell Douglas,MD-11F
N621JH,Gulfstream Aerospace,G-IV
N621KC,Embraer,EMB-110P1
N621KD,Israel Aircraft Industries,ASTRA SPX
N621KE,Beech,G18S
N621MT,British Aerospace,BAE 125 SERIES 800A
N621NW,Mcdonnell Douglas,DC-9-32
N621S,Gulfstream American Corp.,G-1159A
N621SC,Cessna,441
N621ST,Hawker Siddeley,DH-125
N621SW,Boeing,737-3H4
N621TA,Mitsubishi,MU-2B-35
N621UA,Boeing,767-222
N621W,Dee Howard Company,500
N6210C,Lockheed,1049-53
N62101,Douglas,C-47
N62102,Douglas,C-47
N62109,Douglas,DC3
N6211C,Lockheed,1049-53
N6213C,Lockheed,1049-53
N62175,Mitsubishi,TYPE ZERO
N6218T,Dehavilland,DHC-6-300
N62183,Britten-Norman,BN2A-26 ISLANDER
N622AA,Boeing,757-223
N622AB,Bombardier Inc,BD-700-1A10
N622AE,Embraer,EMB-145LR
N622AS,Boeing,737-790
N622AU,Boeing,757-2B7
N622AW,Airbus Industrie,A320-231
N622BR,Canadair,CL-600-2B19
N622DC,Beech,200
N622DL,Boeing,757-232
N622MM,Cessna,425
N622NW,Douglas,DC-9-32
N622RR,Grumman,G-1159
N622SP,Swearingen,SA226TC
N622SV,Israel Aircraft Industries,GALAXY
N622SW,Boeing,737-3H4
N622TA,Raytheon Aircraft Company,B200
N622UA,Boeing,767-222
N622US,Boeing,747-251B
N622WM,Canadair Ltd,CL-600-2B16
N62215,Boeing,720-022
N62242,Douglas,DC-6
N6226C,Lockheed,1049C-55
N6227C,Lockheed,1049C
N62271,Potez,840
N62297,Douglas,C-54E
N623AA,Boeing,757-223
N623AC,Boeing,737-230
N623AE,Embraer,EMB-145LR
N623AS,Boeing,737-790
N623AU,Boeing,757-2B7
N623BR,Canadair,CL-600-2B19
N623CW,Canadair Ltd,CL-600-2B16
N623DL,Boeing,757-232
N623DS,Beech,B200
N623FE,Mcdonnell Douglas,MD-11F
N623FF,Boeing,747-2F6B
N623MS,Gulfstream American Corp.,G-1159A
N623NW,Mcdonnell Douglas,DC-9-32
N623PM,Cessna,650
N623QW,Dassault,FALCON 50EX
N623SW,Boeing,737-3H4
N623UA,Boeing,767-222
N623US,Boeing,747-251B
N623VP,Beech,200
N62330,Convair,440
N62366,Rockwell International,690A
N624AA,Boeing,757-223
N624AE,Embraer,EMB-145LR
N624AJ,Airbus Industrie,A320-200
N624AS,Boeing,737-790
N624AT,Cessna,560XL
N624AU,Boeing,757-2B7
N624AW,Airbus Industrie,A320-231
N624BP,Gulfstream American Corp.,G-1159A
N624BR,Canadair,CL-600-2B19
N624CA,Cessna,402B
N624CB,Cessna,441
N624DL,Boeing,757-232
N624GA,Gulfstream Aerospace,G-V
N624GJ,Gulfstream Aerospace,G-IV
N624KM,Israel Aircraft Industries,1124
N624SW,Boeing,737-3H4
N624TA,Raytheon Aircraft Company,B200
N624UA,Boeing,767-222
N624US,Boeing,747-251B
N624VA,Boeing,727-17
N62414,Douglas,DC3C
N62433,Douglas,C54-D
N62439,Douglas,C54-D
N62441,Douglas,C54-D
N625AA,Boeing,757-223
N625AE,Embraer,EMB-145LR
N625AS,Boeing,737-790
N625AT,Cessna,560XL
N625AU,Gates Learjet,25D
N625AW,Airbus Industrie,A320-231
N625B,Beech,D18S
N625BL,Learjet Inc,35A
N625BR,Canadair,CL-600-2B19
N625CC,Cessna,650
N625DL,Boeing,757-232
N625E,Douglas,DC3C-S1C3G
N625SW,Boeing,737-3H4
N625UA,Boeing,767-222
N625US,Boeing,747-251B
N625VJ,Boeing,757-2B7
N625W,Beech,B200
N62569,Beech,B200
N62576,Airbus Industrie,A300B2-1C
N626AA,Boeing,757-223
N626AE,Embraer,EMB-145LR
